iter	Passed	Remaining
1304	2073	5870
1305	2074	5868
1306	2076	5866
1307	2077	5864
1308	2079	5862
1309	2080	5861
1310	2082	5859
1311	2083	5857
1312	2085	5855
1313	2086	5853
1314	2088	5851
1315	2089	5849
1316	2091	5847
1317	2092	5845
1318	2093	5843
1319	2095	5841
1320	2096	5839
1321	2097	5836
1322	2099	5834
1323	2100	5832
1324	2102	5830
1325	2103	5828
1326	2105	5826
1327	2106	5824
1328	2107	5822
1329	2109	5820
1330	2110	5818
1331	2112	5816
1332	2113	5814
1333	2115	5813
1334	2116	5811
1335	2118	5809
1336	2119	5807
1337	2121	5805
1338	2122	5803
1339	2124	5801
1340	2125	5800
1341	2127	5797
1342	2128	5796
1343	2130	5794
1344	2131	5792
1345	2133	5790
1346	2134	5788
1347	2136	5787
1348	2137	5784
1349	2138	5783
1350	2140	5781
1351	2141	5778
1352	2143	5777
1353	2144	5775
1354	2146	5772
1355	2147	5771
1356	2148	5769
1357	2150	5767
1358	2151	5765
1359	2153	5763
1360	2154	5761
1361	2156	5759
1362	2157	5757
1363	2159	5756
1364	2160	5754
1365	2162	5752
1366	2163	5750
1367	2164	5747
1368	2166	5746
1369	2167	5744
1370	2169	5742
1371	2170	5740
1372	2172	5738
1373	2173	5736
1374	2174	5733
1375	2176	5731
1376	2177	5729
1377	2179	5727
1378	2180	5725
1379	2181	5723
1380	2183	5721
1381	2184	5719
1382	2186	5717
1383	2187	5715
1384	2189	5713
1385	2190	5711
1386	2191	5709
1387	2193	5708
1388	2195	5706
1389	2196	5704
1390	2198	5702
1391	2199	5700
1392	2200	5698
1393	2202	5697
1394	2203	5695
1395	2205	5694
1396	2207	5693
1397	2209	5691
1398	2210	5689
1399	2211	5687
1400	2213	5685
1401	2214	5683
1402	2216	5682
1403	2218	5681
1404	2219	5679
1405	2221	5678
1406	2222	5676
1407	2224	5675
1408	2226	5673
1409	2227	5672
1410	2229	5671
1411	2231	5669
1412	2233	5668
1413	2234	5667
1414	2236	5666
1415	2238	5664
1416	2239	5663
1417	2240	5660
1418	2242	5658
1419	2243	5656
1420	2245	5654
1421	2246	5652
1422	2247	5650
1423	2249	5648
1424	2250	5646
1425	2252	5644
1426	2253	5642
1427	2255	5640
1428	2256	5638
1429	2257	5637
1430	2259	5634
1431	2260	5632
1432	2262	5631
1433	2263	5629
1434	2265	5627
1435	2266	5624
1436	2267	5622
1437	2269	5620
1438	2270	5619
1439	2272	5616
